Kila,Je te suis depuis les vidéos dans ta chambre et c’est inexplicable mais je suis trop fière de toi
Laurence Tcheng,C'est clairement la meilleure vidéo de tout YouTube 🤩🤩
SoraGaming 2020,C'est incroyable
Eric Schemetat,"Un grand bravo à toi Lucas pour ce projet de dingue, tu m'as régalé."
yanis,Dingerie
Jean-Christophe Gilbert,Bravo c’est vraiment incroyable ce que tu as fait. Félicitations et j’ai très hâte de voir la prochaine courses!!
Vincent Guillaumot,J'ai versé une larme a la fin ! Bravo !
Ali Baba,je ne commente presque jamais mais franchement MERCI POUR TOUTS.....
30Ika06,Porbablement une des meilleures vidéos de Squeezie... Je suis un Loulou et je connais bien Sylvain et Pierre. La larme à été versée en voyant Sylvain dans les bras de Squeezie enn lui disant qu'il lui avait permis de réaliser son rêve... Le sport c'est beau putain !
Darkrai-Chan,"Honnêtement Squeezie, MERCI pour tout ce que tu nous offre! MERCI pour la personne que tu es!"
S0kun,"Merci Squeezie pour tout ça ! Vous avez kiffé sur la piste, on a kiffé des gradins , on a kiffé sur Twitch ! Gros coeur sur toi  🙏"
Micheal Chase,Ça fait des années je te suis sur youtube et je croit qu'il y a aucune de tes vidéo qui mon touché autant et tu as vraiment parfaitement réalisé cette vidéo je vous félicite tous pour vos performances incroyable et ça fait chaud au coeur de vous voir tous réunie pour faire un expérience inoubliable qui restera marqué dans les média et Internet
Scheuerboyy,"J'ai lâché 4 fois ma larme en regardant du sport auto : la première fois que j'ai regardé la F1, à l'annonce de Vettel qui prends sa retraite, en regardant le GP Explorer et en regardant ce documentaire. Cet event était juste EX-CEP-TION-NEL, à l'année prochaine pour le GP Explorer 2 ❤️"
Lex,"Je ne pleure pas, tu pleures :')"
junior auguste,J'ai pleuré 😭
Pippo Lolo,"C'est fou de se dire que j'ai 33 ans bientôt et que je te suis depuis que tu es dans ta chambre à faire des podcasts foireux et gênant. J'ai l'impression d'être ton grand frère. 

Et bah tu sais quoi on va y aller à fond, je suis très fière de toi Lucas. Et bravo à tes parents de t'avoir laissé faire tout ça alors que c'était le flou total YouTube avant en terme d'avenir.

Bravo Champion et vivement la saison 2 ;)

Ps : Bien sûr que j'ai pleuré pendant la vidéo 😀"
Arisa Sakura,"WOAOW Juste ✨INCROYABLE✨ Le début on  part sur quelque chose avec tellement d'humour à quelque chose de tellement touchant.
Autant le GP Explorer que ce documentaire sont incroyables. 
Merci à Squeezie et tout ces Youtubeurs que la plupart on les suivaient dans leurs chambres avec le strict minimum  maintenant ils sont là devant nous entrain de faire des folies entrain de se régaler et de nous régaler depuis toujours.
Juste un mot.
Merci.✨"
Akram Atmani,Merci a vous ❤ !
Maco,J'ai l'impression de voir une ancienne vidéo de squeezie à sa façon de parler ça me fait tellement plaisir
Gabriel Lagacé,wow...
Gabriel Lévesque,Oui
Stéphane Pennellier,"MEILLEUR EVENEMENT TWITCH/YOUTUBE DE TOUT LES TEMPS 

Beaucoup d'émotions de voir des createurs de contenu avec lesquels on a grandit depuis une dizaine d'années, arriver a un organiser de toute piece un evenement aussi ouf avec un reel spectacle. 

Félicitations a vous, un vrai plaisir de vous voir arrivé jusque la"
DZK,Squeezie est le plus grand youtubeur Français. Tu es le meilleur mec
n‏‏‎b,vu
KroooNYY,Ref de sa sacoche svp
KIIzeR,Bravo le papa des squeezos pour ce gp explorer pour nous avoir fait vibrer à travers tout ça  merci énormément merci ! 🙏🏼
créatek,tu a vu la video d'Unchained sur cette event elle est vraiment chouette
Marianne Tardif,Tout à commencer par un gamin de 12 ans qui se film dans sa chambre.... !!! Wow
Thomas Prudhomme,Merci pour l'insomnie...
P Sutila,marterclass
zak Demir,"top le docu, la voix off passe crème, good idée"
I StM I,29:50 GOATIFI
clarisse picard,incroyable !!!
Gontran Courtjoie,"Vous avez clairement écrit une page de l'Histoire d'internet, bravo à vous, je suis très fier et honoré d'avoir été témoin de ça."
Alex Alex,Les frissons !!!!
Maria SPT,"C'est vraiment cool que t'es pus faire ce projet, mais peut être la prochaine fois pourquoi ne pas faire quelque chose plus bienveillante envers l'environnement."
zedx364,"C'était ouf comme événement, tellement d'émotions et de fierté, depuis tes débuts je regarde ce que tu fais, je t'ai vu grandir et en vrai j'ai un peu l'impression de voir un pote qui réussi tout ce qu'il entreprend...
Félicitations Squeezie et tous ceux qui bossent avec lui!"
Ōkami,"J’ai rarement était aussi émue devant un documentaire 😢 C’est probablement la 1ere fois. 
T’es notre héro Squeezie, c’est toi le boss à tout jamais. Merci de nous avoir fait vivre ça à travers ce live Twitch Génialissime et encore une fois à travers ce documentaire ❤
Merci pour tout ❤"
Pauline Duhadin,"le flex de pouvoir dire Charles Leclerc a regardé MA course, la dinguerie"
Frederic Vannier,Incroyable événement et super vidéo!!
LineArck,"autant je te regarde pas habituellement, autant c'est fantastique ce que vous avez mis en place. Bien joué !"
JAAAYYY,Belle porsche Squeezie
